马立平01 | 眼睛 | 眼 睛 上 下 中 间 一 边 毛 颗 黑 葡 萄 口 目 嘴 鼻 子 
马立平02 | 美丽的公鸡 | 美 丽 为 整 洋 冠 油 脖 金 第 饱 啄 病 治 医 摇 摆 园 蜜 蜂 鼓 采 肚 稻 害 伤 理 因 表 惭 愧 此 每 喔 遍 催 
马立平02 | 埋蛇的孩子 | 埋 蛇 孙 敖 次 久 死 挖 擦 泪 别 今 所 难 
马立平02 | 骆驼和羊 | 骆 驼 夏 散 错 情 证 俩 围 墙 许 举 扒 肯 认 输 向 窄 模 跪 评 各 短 如 既 争 论 休 
马立平02 | 小弟和小猫 | 聪 淘 洗 澡 装 照 闭 咯 姐 爪 舔 眯 喵 胡 翘 妙 哈 皱 眉 臊 干 净 床 穿 饭 戏 讲 觉 桌 椅 窗 电 灯 冰 箱 视 机 汽 
马立平02 | 小壁虎借尾巴 | 壁 虎 借 正 角 蚊 咬 挣 断 逃 先 呀 池 塘 行 拨 甩 蝇 檐 掌 握 累 息 眨 傻 转 喊 趣 丢 旧 新 
马立平02 | 植物妈妈有办法 | 植 物 海 翅 膀 靠 蒲 英 准 备 降 微 纷 发 苍 带 刺 榴 胆 豌 豆 更 荚 晒 啪 炸 离 仔 观 察 识 粗 却 得 
马立平02 | 铁棒磨成针 | 铁 棒 磨 针 名 学 习 困 读 书 课 教 室 溜 根 发 奶 位 干 硬 定 总 决 始 伟 诗 念 首 疑 霜 望 思 乡 
马立平03 | 汉语拼音的特点 | 汉 骂 婆 猪 鹅 数 破 布 补 锯 舌 牙 齿 试 
马立平03 | 复韵母 | 上 买 妹 背 打 背 饱 吵 桥 棚 拾 题 龟 吓 
马立平03 | 复韵母 | 下 房 师 晴 工 绳 分 清 龙 王 神 晃 象 划 抓 
马立平03 | “一”、“不”和连读 | 容 易 浪 费 狼 撞 敢 鹿 客 波 姑 娘 篮 虾 烟 江 舞 蹈 
马立平03 | 曹冲称象 | 称 将 军 曹 操 运 杀 切 冲 父 沈 沿 岸 斤 量 
马立平03 | 锯是怎样发明的 | 鲁 班 国 古 匠 造 需 料 派 砍 斧 够 缺 野 指 被 血 具 忘 疼 痛 省 
马立平03 | 狐假虎威 | 假 威 森 寻 食 扑 狡 猾 珠 命 反 管 兽 趟 活 半 平 凶 恶 骗 
马立平03 | 小马过河 | 麦 挡 应 该 浅 淹 惊 深 昨 伙 伴 愿 危 险 关 原 
马立平03 | 公鸡蛋 | 蛋 甘 罗 茂 皇 帝 官 爷 香 助 摸 肩 叹 苦 令 午 内 实 虽 改 主 跪 恭 敬 替 假 慌 响 楚 求 勇 感 救 
马立平03 | 穷和尚和富和尚 | 穷 尚 富 部 川 瘦 拜 佛 碗 钱 岭 化 缘 庙 相 年 辛 终 于 达 访 惜 本 志 者 竟 
马立平03 | 要是你在野外迷了路 | 迷 确 忠 导 引 影 阴 密 稀 盏 永 乱 特 融 积 
马立平03 | 找骆驼 | 商 迎 跛 紧 详 较 迹 至 究 必 须 顺 继 续 
马立平03 | 岳飞学写字 | 岳 战 胜 织 养 校 教 岁 卖 纸 街 簸 箕 沙 插 双 捧 全 交 母 铺 而 且 历 史 
马立平03 | 光阴一去不复返 | 复 返 注 匆 躺 便 场 嘀 嗒 秒 或 限 验 似 乎 使 善 利 获 功 寸 壮 努 徒 悲 
马立平03 | 爸爸的老师 | 嗨 副 严 肃 鲜 嗯 临 叮 咛 强 结 猜 鞠 躬 中 希 念 级 赞 骄 傲 劳 曾 
马立平03 | 等一会儿再说 | 镇 市 筐 瓷 器 店 架 歪 简 系 坡 哐 啷 摔 粉 碎 
马立平03 | 让我们荡起双桨 | 荡 桨 推 映 塔 环 绕 夕 洒 愉 尽 爽 院 馆 品 超 厕 
马立平03 | 愚公移山 | 愚 移 附 妻 犹 豫 堆 抢 填 领 邻 居 参 渐 智 叟 嘲 笨 糊 涂 团 坚 持 顾 仍 止 仙 
马立平04 | 小丽长大了 | 盼 鞋 裙 切 毫 业 板 扫 齐 楼 哟 茶 礼 貌 
马立平04 | 十二生肖歌 | 肖 属 之 武 银 骑 绵 裳 丝 啼 防 偷 肥 牢 记 
马立平04 | 蔡伦造纸 | 蔡 伦 普 通 刻 般 蚕 薄 帛 贵 便 宜 扛 渔 网 锅 煮 捣 浆 层 贴 厚 亚 洲 欧 文 贡 献 
马立平04 | 田忌赛马 | 忌 赛 段 殊 期 互 仗 夺 灭 亡 扩 统 失 败 膑 形 取 耀 锣 赢 序 
马立平04 | 东郭先生和狼 | 郭 牵 猎 灾 难 恩 怜 并 拢 捆 塞 绑 提 弓 搭 箭 村 射 避 良 农 民 锄 压 闷 坏 
马立平04 | 时光老人的礼物 | 谷 泉 闻 味 份 珍 安 排 懒 惰 锻 炼 体 健 康 
马立平04 | 第一次跳伞 | 练 浮 舱 毯 队 预 铃 嗖 及 睁 呼 悠 
马立平04 | 地震仪 | 仪 科 衡 负 责 录 震 况 研 报 铜 铸 酒 桶 含 蹲 吐 足 
马立平04 | 神医扁鹊 | 扁 鹊 式 检 查 诊 腕 脉 概 甚 肤 疗 痒 肌 睬 入 胃 耐 烦 巧 敷 灸 汤 药 髓 承 
马立平04 | 捉鱼 | 暑 盆 宽 筑 坝 堵 舀 哗 卷 蒸 饺 什 锦 炒 甜 酸 烧 腐 陈 辣 核 酥 饮 
马立平04 | 万圣节之夜 | 圣 扮 暗 讨 糖 蔼 诞 衬 衫 戴 帽 克 由 抽 巫 苗 材 盒 泡 瞧 仰 盗 偏 峡 迁 祝 
马立平04 | 月亮姑娘做衣裳 | 朗 钩 裁 缝 约 量 尺 扣 重 歉 颜 盘 辉 撒 适 
马立平04 | 河神和海神 | 祖 倾 滔 广 奔 际 尊 渺 
马立平04 | 放风筝 | 筝 轴 扇 稳 碌 仿 嚷 叽 喳 卫 宇 宙 随 艳 
马立平04 | 长城的回忆 | 忆 登 托 敌 抛 隔 建 烽 邮 票 丈 解 增 秦 未 丰 
马立平04 | 草船借箭 | 权 刘 联 瑜 诸 葛 妒 嫉 罚 遮 保 置 吩 咐 朝 雾 营 呐 聊 丞 驶 
马立平04 | 捞铁牛 | 宋 链 洪 退 修 怀 丙 挤 潜 铲 拖 
马立平05 | 第一回美猴王出世 | 众帘 裂 瀑 横 匾 
马立平05 | 第二回猴王学本领 | 柴 谎 姓 喝 漂 
马立平05 | 第三回喜得金箍棒 | 妖 驾 抖 狂 蟹 压 筋 
马立平05 | 第四回不当养马官 | 灵 温 殿 
马立平05 | 第五回大闹蟠桃会 | 闲 寿 顿 府 
马立平05 | 第六回天兵战大圣 | 贼 炉 怒 犯 罪 君 赤 踏 厉 臂 
马立平05 | 第七回被压五行山 | 跤 钢 炉 踢 郎 剁 率 燃 捂 熏 圈 
马立平05 | 第八回唐僧救悟空 | 祸 唐 杖 豹 魔 藏 护 京 锡 
马立平05 | 第九回降伏小白龙 | 愁 欺 绕 性 陪 伏 脓 抵 吞 丛 
马立平05 | 第十回计收猪八戒 | 宁 陪嫁 傍 钉 呆 戒 庄 
马立平05 | 第十一回大战流沙河 | 腾 碑 瞪 帅 
马立平05 | 第十二回偷吃人参果 | 余 秀 盛 参 观 鸣 
马立平05 | 第十三回观音救宝树 | 袖 弄 浸 磕 唰 扭 毁 慰 编 
马立平05 | 第十四回三打白骨精 | 股 尸 精 壶 
马立平05 | 第十五回八戒讨救兵 | 拥 焦 吊 梦 剑 狠 
马立平05 | 第十六回捉拿金鱼怪 | 稍 独 童 泼 舍 馒 端 咕噜 拄 泛滥 秤 拐 
马立平05 | 第十七回真假美猴王 | 暂 坚 哼 慧 戳 晕 
马立平05 | 第十八回三借芭蕉扇 | 季 乒乓焰 熄 播 吉 扇 炎 稼 
马立平05 | 第十九回大圣救娃娃 | 旅 弱 惑 娶 熬 笼 盖 除 
马立平05 | 第二十回取经回大唐 | 撑 途 遥 雄 渡 寺 彩 滑 湿 
马立平06 | 中餐馆名字趣谈 | 餐 谈 裔 职 程 授 律 醉 唐 苏杭 烤 享 赏 
马立平06 | 不是“菜细”是“菜系” | 众 粤 扬 蒙 浓 诚 椒 淡 煲 砂 据 斑 咸 丸 宗 湾 刮 
马立平06 | 做川菜 | 状 末 茸 姜 蒜 芡 盐 酱 拌匀 滋汁 旺 醋 嫩 葱 蔬 笋 肝 茄 异 彼 
马立平06 | 张记水电行 | 牌 章 敏 吴 徐 瞎编 价 质 廉 腊 螃蟹 蔬 类 罐 务 供 繁 
马立平06 | 小花鹿 | 制 储蓄 撅 橘 系 甸 抚摸 
马立平06 | 金鱼 | 顽 追逐 蹭 鳍 缸 晶莹 透 
马立平06 | 荷花 | 荷 挨 冒 莲蓬 姿势 翩 
马立平06 | 赵州桥 | 拱 隋 砌 墩 击 雕 案 缠绕 
马立平06 | 海上日出 | 霞 刹 辨 灿烂 镶 染 
马立平06 | 火烧云 | 彤 恍 惚 揉 
马立平06 | 有趣的木偶戏 | 偶 猛 
马立平06 | 蝉 | 蝉 占据 孔 拇 幼 灌 蜕 折叠 腹 演 竭 颤 柔 棕 
马立平07 | 高尔基和小摄影师 | 摄 暇 敞 咧 拳 胶 廊 务 
马立平07 | 老鼠变老虎 | 寓 隐 吱 茅 浑 卧 饥 软 趴 幸亏 逞 瞪 
马立平07 | 不换就不换吧 | 艘 航 显 肆 桅杆 撕 逗 唬 跌 鸥 瞄 控 
马立平07 | 跳水 | 末 侵略 陵 何 恼 汹 惹 跃 
马立平07 | 晏子使楚 | 晏 婴 瞅 规矩 囚犯 淮 枳 涩 
马立平07 | 鲁鲁和菲菲 | 挽 嗅 惨 唧 愣 杵 执 揖 荒 训 忏悔 呜咽 
马立平07 | 将相和 | 蔺 封 颇 怒 堪 嘱咐 府 免 番 荆 
马立平07 | 木兰辞 | 杼 唯 亦 鞍 征 骏 鞯 辔 旦 辞 暮 宿 唤 溅 骑 啾 赴 戎 若 朔 柝 归 策勋 欲 郎 驰 扶 姊 妆 霍 阁 袍 鬓 皆 雌 
